P,Q,Websim,Wu & Palmer,Path_length,Leacock Chodorow ,Sim_snippet1,Sim_snippet2
pleased,Excited,0.7,0.4,0.25,1.4663,0.0,0.3797
run,rush,0.96,0.9565,0.5,1.4404,0.0,0.4527
displeased,upset,0.564,0.5,0.3333,1.6487,0.04,0.4275
sleep,nap,1.0153,1.0,1.0,1.335,0.0,0.4369
laugh,weep,1.472,0.3333,0.3333,2.1595,0.0,0.4136
rich,poor,0.6409999999999999,0.8,0.3333,2.539,0.0,0.4327
drunk,sober,1.1520000000000001,0.4,0.25,1.6487,0.07407407407407407,0.4233
run,sweat,1.28272,0.7059,0.2,0.8044,0.0,0.4313
contested,won,1.04663,0.1818,0.1,0.9555,0.04166666666666666,
fell,broken,1.6619700000000002,0.8571,0.5,1.1787,0.0,0.4495
huawei,iphone,1.80282,0.0,0.0,0.0,0.03448275862068965,0.3091
mobile phones,cell phones,1.13021,0.0,0.0,0.0,0.04166666666666666,0.5173
introvert,extrovert,1.18848,0.75,0.3333,2.539,0.07692307692307693,0.4708
