Word 1,Word 2,Human Judgement Score,Wu & Palmer,Path_length,Leacock Chodorow
automobile,car,3.92,1.0,1.0,3.6376
gem,jewel,3.84,1.0,1.0,1.5581
journey,voyage,3.84,0.9524,0.5,2.2513
boy,lad,3.76,0.9474,0.5,2.539
coast,shore,3.7,0.9091,0.5,2.9444
asylum,madhouse,3.61,0.9524,0.5,1.5581
magician,wizard,3.5,1.0,1.0,1.8458
midday,noon,3.42,1.0,1.0,3.6376
furnace,stove,3.11,0.5263,0.1,1.0726
food,fruit,3.08,0.4,0.1,1.2397
bird,cock,3.05,0.9524,0.5,0.865
bird,crane,2.97,0.8696,0.25,1.4404
implement,tool,2.95,0.9333,0.5,2.9444
brother,monk,2.82,0.9524,0.5,1.5581
brother,lad,1.66,0.6667,0.2,1.6917
crane,implement,1.68,0.75,0.2,1.335
car,journey,1.16,0.1053,0.0556,0.6419
monk,oracle,1.1,0.5714,0.125,1.5581
cemetery,woodland,0.95,0.4286,0.1111,1.4404
food,rooster,0.89,0.2105,0.0625,0.865
coast,hill,0.87,0.6667,0.2,2.0281
forest,graveyard,0.84,0.4286,0.1111,0.9985
shore,woodland,0.63,0.6,0.2,2.0281
monk,slave,0.55,0.6667,0.2,2.0281
coast,forest,0.42,0.5455,0.1667,1.2397
lad,wizard,0.42,0.6667,0.2,2.0281
cord,smile,0.13,0.2857,0.0909,1.0726
glass,magician,0.11,0.4706,0.125,1.4404
rooster,voyage,0.08,0.08,0.0417,0.4595
noon,string,0.08,0.2667,0.0833,0.8044
cord,smile,0.02,0.2857,0.0909,1.0726
rooster,voyage,0.04,0.08,0.0417,0.4595
noon,string,0.04,0.2667,0.0833,0.8044
fruit,furnace,0.05,0.5556,0.1111,1.1527
autograph,shore,0.06,0.1818,0.1,1.335
automobile,wizard,0.11,0.4,0.25,1.0726
mound,stove,0.14,0.6316,0.1429,1.0726
grin,implement,0.18,0.2,0.1111,1.0726
asylum,fruit,0.19,0.625,0.1429,1.335
asylum,monk,0.39,0.4444,0.0909,1.2397
graveyard,madhouse,0.42,0.3,0.0667,0.9295
glass,magician,0.44,0.4706,0.125,1.4404
boy,rooster,0.44,0.5217,0.0833,1.1527
cushion,jewel,0.45,0.625,0.1429,1.4404
monk,slave,0.57,0.6667,0.2,2.0281
asylum,cemetery,0.79,0.3529,0.0833,1.1527
coast,forest,0.85,0.5455,0.1667,1.2397
grin,lad,0.88,0.1538,0.0833,1.1527
shore,woodland,0.9,0.6,0.2,2.0281
monk,oracle,0.91,0.5714,0.125,1.5581
boy,sage,0.96,0.6316,0.1667,1.8458
automobile,cushion,0.97,0.6,0.1667,1.4404
mound,shore,0.97,0.6667,0.2,1.335
lad,wizard,0.99,0.6667,0.2,2.0281
forest,graveyard,1.0,0.4286,0.1111,0.9985
food,rooster,1.09,0.2105,0.0625,0.865
cemetery,woodland,1.18,0.4286,0.1111,1.4404
